"Peak id","Mass","RT","P8.mzXML","P9.mzXML","P10.mzXML","P1.mzXML","P2.mzXML","P3.mzXML","P4.mzXML","P5.mzXML","P6.mzXML","P7.mzXML","B6.mzXML","B7.mzXML","B8.mzXML","B9.mzXML","B10.mzXML","B1.mzXML","B2.mzXML","B3.mzXML","B4.mzXML","B5.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","InChI Key"
"1","162.1125","721.32","154055984","157371296","163359376","120692768","138611296","142367840","152954960","145158976","150427056","152319472","41354696","9161107","32642612","43529220","30732056","37617924","28942826","19631428","57177056","45767312","positive","No Fragments","(S)-Carnitine,L-Carnitine","PHIQHXFUZVPYII-LURJTMIESA-N,PHIQHXFUZVPYII-ZCFIWIBFSA-N"
"2","175.1078","722.56","14937265","11402458","13070325","12465352","12690023","11927259","15324577","11980377","14308476","14202254","2472136.5","805449.56","1960416.38","2651335.25","1914769.88","1977995.13","1799002.38","1362886.13","3198976.5","2535130.25","positive","No Fragments","1,4-Dideoxy-1,4-imino-D-ribitol,Glycyl-Valine,L-2-Amino-5-hydroxypentanoic acid,L-Theanine,N-Acetylornithine,N-Hydroxy-L-valine,N-Lactoyl ethanolamine,N5-Ethyl-L-glutamine,Valyl-Glycine","CZWARROQQFCFJB-UHFFFAOYNA-N,DATAGRPVKZEWHA-UHFFFAOYSA-N,DATAGRPVKZEWHA-YFKPBYRVSA-N,IOUPEELXVYPCPG-UHFFFAOYSA-N,JRLGPAXAGHMNOL-LURJTMIESA-N,OQEBIHBLFRADNM-UHFFFAOYNA-N,PXEKBQAJOBYINU-BYPYZUCNSA-N,RZCHTMXTKQHYDT-UHFFFAOYSA-N,STKYPAFSDFAEPH-UHFFFAOYSA-N"
"3","166.0723","725.41","982622.94","976424.56","1212015.75","416068.91","538213.81","355468.41","449909.44","395217.47","428363.94","687159.5","NA","NA","NA","8590.1","NA","NA","NA","NA","NA","NA","positive","No Fragments","1-Methylguanine,3-Methylguanine,7-Methylguanine,N2-Methylguanine","FZWGECJQACGGTI-UHFFFAOYSA-N,RFLVMTUMFYRZCB-UHFFFAOYSA-N,SGSSKEDGVONRGC-UHFFFAOYSA-N,XHBSBNYEHDQRCP-UHFFFAOYSA-N"
"4","197.0898","723.19","823373.56","1143676.25","943105.56","648989.13","885958","712520.94","666969.38","780233","835383.69","815951.75","330252.19","129005.68","264314.81","343196.94","223866.5","304192.66","282667.09","219377.03","426611.09","379822.28","positive","No Fragments","1,4-Dideoxy-1,4-imino-D-ribitol,Glycyl-Valine,L-2-Amino-5-hydroxypentanoic acid,L-Theanine,N-Acetylornithine,N-Hydroxy-L-valine,N-Lactoyl ethanolamine,N5-Ethyl-L-glutamine,Valyl-Glycine","CZWARROQQFCFJB-UHFFFAOYNA-N,DATAGRPVKZEWHA-UHFFFAOYSA-N,DATAGRPVKZEWHA-YFKPBYRVSA-N,IOUPEELXVYPCPG-UHFFFAOYSA-N,JRLGPAXAGHMNOL-LURJTMIESA-N,OQEBIHBLFRADNM-UHFFFAOYNA-N,PXEKBQAJOBYINU-BYPYZUCNSA-N,RZCHTMXTKQHYDT-UHFFFAOYSA-N,STKYPAFSDFAEPH-UHFFFAOYSA-N"
"5","323.2178","721.95","220152.17","246607.34","178016.92","168917.77","134539.89","231420.69","261786.08","190170.31","146322.64","151212.98","17026.49","NA","6370.95","22508.9","6854.67","11813.34","8640.21","NA","27859.91","20417.83","positive","No Fragments","",""
"6","213.0636","722.99","154005.97","109460.17","176257.95","144186.53","179841.08","138604.59","129698.28","149160.3","160534.72","139085.45","76170.16","33139.39","70927.17","92572.84","71901.95","85218.66","80511.99","67575.89","120321.16","111595.11","positive","No Fragments","(S)-4-Hydroxymandelonitrile,2,3-Dihydroxyindole,2-Formylaminobenzaldehyde,3-Hydroxyindolin-2-one,4-Hydroxymandelonitrile,5,6-Dihydroxyindole,6-Hydroxy-1H-indole-3-acetamide,Gentianadine,Glycyl-Valine,Indole-3-acetaldoxime N-oxide,L-Theanine,N-Acetylornithine,N5-Ethyl-L-glutamine,NAPQI,Valyl-Glycine","DATAGRPVKZEWHA-UHFFFAOYSA-N,DATAGRPVKZEWHA-YFKPBYRVSA-N,HOOOPXDSCKBLFG-MRVPVSSYSA-N,HOOOPXDSCKBLFG-SVGMAFHSNA-N,HOOOPXDSCKBLFG-UHFFFAOYSA-N,IOUPEELXVYPCPG-UHFFFAOYSA-N,JRLGPAXAGHMNOL-LURJTMIESA-N,LZEDEUNADWSJKX-UHFFFAOYSA-N,PGNRLPTYNKQQDY-UHFFFAOYSA-N,PGXXGODNTPWQHZ-UHFFFAOYSA-N,PVIMSPYDDGDCTG-UHFFFAOYSA-N,SGNZYJXNUURYCH-UHFFFAOYSA-N,SGZFJWQQBHYNNF-UHFFFAOYSA-N,SIIDHCZFMSEKDS-UHFFFAOYSA-N,STKYPAFSDFAEPH-UHFFFAOYSA-N,URNSECGXFRDEDC-UHFFFAOYSA-N"
"7","192.0244","722.99","59216.74","118238.02","56994.71","68351.15","56511.54","55680.27","54260.4","48311.63","81018.15","88109.04","28411.68","13324.4","28913.4","36182.18","27371.5","28475.74","30124.62","21630.95","38190.86","34775.11","positive","No Fragments","",""
"8","231.1453","719.71","92759.16","85275.82","83158.83","93933.8","94525.36","107588.59","110017.14","67896.55","78711.46","97150.71","10486.28","5006.4","13130.94","15342.96","11716.86","10527.22","11800.82","12340.4","16398.22","11344.76","positive","No Fragments","Homocitrulline,L-Homocitrulline","XIGSAGMEBXLVJJ-YFKPBYRVSA-N"
"9","176.1043","724.03","100087.25","63424.86","88088.52","76029.08","83578.55","64693.41","96342.77","80690.72","83709.41","85900.45","13468.94","4246.72","11443.62","13838.94","12849.82","12908.09","12989.56","7878.58","15171.37","13689.83","positive","No Fragments","(E)-4-Hepten-2-one,(R)-3-Methylcyclohexanone,(Z)-4-Heptenal,1-Hepten-3-one,2,5-Heptadien-1-ol,2-Butyl-4,5-dimethyloxazole,2-Ethyl-4-methyl-5-propyloxazole,2-Hepten-4-one,2-Heptenal,2-Isobutyl-4,5-dimethyloxazole,2-Methyl-4-pentyloxazole,2-Methylcyclohexanone,2-heptenal,2E,4Z-Heptadien-1-ol,3-Hepten-2-one,3-heptenal,4-Butyl-2,5-dimethyloxazole,4-Ethyl-2-methyl-5-propyloxazole,4-Ethyl-5-methyl-2-(1-methylethyl)oxazole,4-Ethyl-5-methyl-2-propyloxazole,4-Hepten-2-one,4-Methyl-1-hexen-3-one,4-Methyl-2-pentyloxazole,4-Methyl-4E-hexen-3-one,4-Methylcyclohexanone,4-heptenal,4Z-Hepten-2-one,5-Butyl-2,4-dimethyloxazole,5-Butyl-2-ethyloxazole,5-Ethyl-2-methyl-4-propyloxazole,5-Ethyl-4-methyl-2-(1-methylethyl)oxazole,5-Hepten-2-one,5-Methyl-1-hexen-3-one,5-Methyl-3-hexen-2-one,5-Methyl-3E-hexen-2-one,5-Methyl-5-hexen-2-one,5-heptenal,6-heptenal,Pseudopelletierine,psi-Pelletierine,trans-2-trans-4-Heptadien-1-ol,xi-3-Methyl-3-cyclohexen-1-ol","CMXNFXBFNYHFAL-UHFFFAOYSA-N,FDMDJAGBUGUESB-UHFFFAOYSA-N,HKVFKEJBSWJQMU-UHFFFAOYNA-N,IEYWMNYHQSDLRX-UHFFFAOYSA-N,IOXPXHVBWFDRGS-UHFFFAOYSA-N,IXECKEKKCJBKQJ-UHFFFAOYSA-N,IYMKNYVCXUEFJE-PLNGDYQASA-N,IYMKNYVCXUEFJE-SNAWJCMRSA-N,JHHZQADGLDKIPM-AATRIKPKSA-N,KXXJEDOBYWNPME-UHFFFAOYSA-N,LFSAPCRASZRSKS-UHFFFAOYNA-N,LJQNVNNQRWKTJP-GQCTYLIASA-N,MDRZSADXFOPYOC-DNVGVPOPSA-N,MDRZSADXFOPYOC-VNKDHWASSA-N,MRXQRKKZDKCDSE-UHFFFAOYSA-N,NDFKTBCGKNOHPJ-AATRIKPKSA-N,NUKWARDPXKRLRG-UHFFFAOYSA-N,OJFZPFCEFJXLIK-UHFFFAOYSA-N,ORAQCSKNITWHDW-SNAWJCMRSA-N,OYLCUJRJCUXQBQ-UHFFFAOYSA-N,PVBVVELBGISLBX-UHFFFAOYSA-N,QPKLQTHGELMTTA-UHFFFAOYSA-N,RHWSKVCZXBAWLZ-UHFFFAOYSA-N,RTYRONIMTRDBLT-ONEGZZNKSA-N,SGEREWZCOUDFEM-UHFFFAOYSA-N,SNRVAFQIIFPYDR-UHFFFAOYSA-N,TXVAOITYBBWKMG-HWKANZROSA-N,UDOAKURRCZMWOJ-NSCUHMNNSA-N,UJBOOUHRTQVGRU-UHFFFAOYNA-N,UXLXRNTXKGMQEG-UHFFFAOYSA-N,VAGMYBQNOAXNOV-UHFFFAOYSA-N,VBCIOOKAKHGVMI-UHFFFAOYSA-N,VGVHNLRUAMRIEW-UHFFFAOYSA-N,VQKIKHHXFHNXJT-PLNGDYQASA-N,VQKIKHHXFHNXJT-SNAWJCMRSA-N,VVGOCOMZRGWHPI-ARJAWSKDSA-N,VVGOCOMZRGWHPI-ONEGZZNKSA-N,ZKKRKBOEKNOTPX-NDEAWQBTSA-N,ZXUCSFQOFMHELZ-UHFFFAOYSA-N"
"10","165.1193","722.39","70863.05","63978.56","74813.58","66402.34","64241.41","58629.55","66638.59","77171.05","66178.11","87440.67","22132.17","NA","14641.51","22323.79","10878.37","18170.34","15491.89","10030.06","22050.28","16028.25","positive","No Fragments","",""
